,abcr,pmc_a
Jan-99,112.44,
Feb-99,96,
Mar-99,98.65,
Apr-99,97.42,
May-99,97.48,
Jun-99,93,
Jul-99,101.85,
Aug-99,96.93,
Sep-99,96.03,
Oct-99,101.03,
Nov-99,97.21,
Dec-99,111.96,
Jan-00,110.84,
Feb-00,94.64,
Mar-00,102.06,
Apr-00,99.52,
May-00,95.16,
Jun-00,93.74,
Jul-00,99.12,
Aug-00,92.9,
Sep-00,92.97,
Oct-00,97.98,
Nov-00,95.52,
Dec-00,110.28,
Jan-01,112.82,
Feb-01,95.84,
Mar-01,98.25,
Apr-01,98.79,
May-01,95.16,
Jun-01,93.51,
Jul-01,101.16,
Aug-01,97.16,
Sep-01,94.67,
Oct-01,99.7,
Nov-01,98.74,
Dec-01,107.75,
Jan-02,110.22,
Feb-02,94.74,
Mar-02,103.94,
Apr-02,95.92,
May-02,98.99,
Jun-02,91.45,
Jul-02,103.4,
Aug-02,101.07,
Sep-02,97.49,
Oct-02,103.32,
Nov-02,101.45,
Dec-02,110.77,
Jan-03,107.87,44.3
Feb-03,93.15,42.7
Mar-03,97.65,42.8
Apr-03,97.36,43.7
May-03,96.67,45.6
Jun-03,93.3,43
Jul-03,100.39,46.2
Aug-03,96.15,46.2
Sep-03,94.91,46.3
Oct-03,101.41,49.3
Nov-03,97.92,48.8
Dec-03,112.89,61.8
Jan-04,109.08,47.2
Feb-04,97.63,44.8
Mar-04,99.26,50.9
Apr-04,100.49,49
May-04,98.96,51.4
Jun-04,96.11,50.3
Jul-04,106.03,52.3
Aug-04,102.13,51.8
Sep-04,102.5,50.8
Oct-04,105.14,52.9
Nov-04,102.55,53.3
Dec-04,116.72,68.4
Jan-05,113.24,50.7
Feb-05,98.93,45.2
Mar-05,107.08,53
Apr-05,101.27,50.6
May-05,103.75,52.2
Jun-05,99.64,51.9
Jul-05,109.42,52.7
Aug-05,105.48,54.7
Sep-05,100.82,51.8
Oct-05,103.93,53.8
Nov-05,104.18,55.2
Dec-05,118.62,70.7
Jan-06,117.48,52.7
Feb-06,100.13,46.9
Mar-06,105.83,55.1
Apr-06,104.45,52
May-06,102.7,56.8
Jun-06,97.75,52.8
Jul-06,109.59,56.1
Aug-06,106.1,59
Sep-06,105.39,57.1
Oct-06,108.58,59.6
Nov-06,108.61,60.8
Dec-06,123.28,74.8
Jan-07,120.23,58.1
Feb-07,105.37,52.5
Mar-07,110.96,62.2
Apr-07,108.87,59.8
May-07,107.98,64.7
Jun-07,106.39,61.9
Jul-07,115.47,63.7
Aug-07,113.61,67.9
Sep-07,114.95,63.9
Oct-07,119.07,69.4
Nov-07,115.94,69.5
Dec-07,128.99,82.8
Jan-08,127.8,66.4
Feb-08,113.44,62.2
Mar-08,120.04,69.7
Apr-08,115.63,69.2
May-08,119.86,72.3
Jun-08,114.01,70.6
Jul-08,126.6,74
Aug-08,119.78,72.6
Sep-08,118.11,74
Oct-08,122.54,71.8
Nov-08,119.41,66.6
Dec-08,133.7,83.8
Jan-09,127.57,68.3
Feb-09,113.92,63.1
Mar-09,118.05,74
Apr-09,120.49,68.7
May-09,120.43,74.3
Jun-09,115.34,78
Jul-09,124.99,74.7
Aug-09,121.66,76.7
Sep-09,122.61,80.9
Oct-09,131.04,79.9
Nov-09,125.36,77.4
Dec-09,141.75,95.4
Jan-10,135.03,75.3
Feb-10,120.32,71.8
Mar-10,128.01,90.5
Apr-10,126.84,77
May-10,129.97,81.4
Jun-10,123.75,80.5
Jul-10,136.23,84
Aug-10,134.07,87.4
Sep-10,134.01,85.7
Oct-10,138.64,88.7
Nov-10,136.75,90.6
Dec-10,153.81,109.8
Jan-11,149,83.9
Feb-11,128,82.3
Mar-11,139.93,88
Apr-11,139.43,86.3
May-11,136.97,91.9
Jun-11,135.19,88
Jul-11,144.82,90.1
Aug-11,140.75,92.1
Sep-11,138.98,89.7
Oct-11,143.73,90
Nov-11,142.15,93.4
