,,Latitude,Longitude,23/02/2020
Casos Confirmados,AC,-9.122319,-7.254903,11
Casos Confirmados,AM,-3.7811577,-69.4487884,32
Casos Confirmados,AP,1.6022635,-54.6117015,1
Casos Confirmados,PA,-3.6143254,-56.9824405,5
Casos Confirmados,RO,-10.8233802,-67.7786974,3
Casos Confirmados,RR,1.8387339,-66.3592675,2
Casos Confirmados,TO,-9.2898179,-52.719741,5
Casos Confirmados,Norte,-4.1585924,-68.9029158,59
Casos Confirmados,AL,-9.6566345,-37.8098722,7
Casos Confirmados,BA,-13.3944786,-46.4826504,63
Casos Confirmados,CE,-5.3171529,-41.5835516,163
Casos Confirmados,MA,-5.6369177,-49.7707547,2
Casos Confirmados,PB,-7.1630764,-37.900861,2
Casos Confirmados,PE,-6.6507456,-39.1198924,42
Casos Confirmados,PI,-6.8150365,-47.6833253,6
Casos Confirmados,RN,-5.4022196,-38.4232286,13
Casos Confirmados,SE,-10.5398048,-38.4442932,10
Casos Confirmados,Nordeste,-9.572798,-49.6293308,308
Casos Confirmados,ES,-19.5449946,-39.8566971,29
Casos Confirmados,MG,-18.5246365,-49.9505209,128
Casos Confirmados,RJ,-22.0622475,-44.0445333,233
Casos Confirmados,SP,-22.5305687,-50.8805249,745
Casos Confirmados,Sudeste,-19.5458472,-50.0164867,1135
Casos Confirmados,DF ,-15.7757875,-48.0778488,133
Casos Confirmados,GO,-15.9005201,-54.0787091,23
Casos Confirmados,MS,-20.5589203,-59.0435673,21
Casos Confirmados,MT,-12.6576677,-60.4292023,2
Casos Confirmados,Centro Oeste,-15.5222805,-62.819462,179
Casos Confirmados,PR,-24.60033,-53.5661073,56
Casos Confirmados,SC,-27.6356251,-53.3273972,68
Casos Confirmados,RS,-30.3387681,-58.1655356,86
Casos Confirmados,Sul,-28.0604495,-57.3322319,210
Casos Confirmados,Brasil,-13.6990998,-69.7348268,1891
Obitos,AC,-9.122319,-7.254903,0
Obitos,AM,-3.7811577,-69.4487884,0
Obitos,AP,1.6022635,-54.6117015,0
Obitos,PA,-3.6143254,-56.9824405,0
Obitos,RO,-10.8233802,-67.7786974,0
Obitos,RR,1.8387339,-66.3592675,0
Obitos,TO,-9.2898179,-52.719741,0
Obitos,Norte,-4.1585924,-68.9029158,0
Obitos,AL,-9.6566345,-37.8098722,0
Obitos,BA,-13.3944786,-46.4826504,0
Obitos,CE,-5.3171529,-41.5835516,0
Obitos,MA,-5.6369177,-49.7707547,0
Obitos,PB,-7.1630764,-37.900861,0
Obitos,PE,-6.6507456,-39.1198924,0
Obitos,PI,-6.8150365,-47.6833253,0
Obitos,RN,-5.4022196,-38.4232286,0
Obitos,SE,-10.5398048,-38.4442932,0
Obitos,Nordeste,-9.572798,-49.6293308,0
Obitos,ES,-19.5449946,-39.8566971,0
Obitos,MG,-18.5246365,-49.9505209,0
Obitos,RJ,-22.0622475,-44.0445333,4
Obitos,SP,-22.5305687,-50.8805249,30
Obitos,Sudeste,-19.5458472,-50.0164867,34
Obitos,DF ,-15.7757875,-48.0778488,0
Obitos,GO,-15.9005201,-54.0787091,0
Obitos,MS,-20.5589203,-59.0435673,0
Obitos,MT,-12.6576677,-60.4292023,0
Obitos,Centro Oeste,-15.5222805,-62.819462,0
Obitos,PR,-24.60033,-53.5661073,0
Obitos,SC,-27.6356251,-53.3273972,0
Obitos,RS,-30.3387681,-58.1655356,0
Obitos,Sul,-28.0604495,-57.3322319,0
Obitos,Brasil,-13.6990998,-69.7348268,0
