Date;veic_lt;veic_ln;veic_li;veic_prod;veic_exp;auto_lt;auto_ln;auto_li;auto_prod;auto_exp;comlev_lt;comlev_ln;comlev_li;comlev_prod;comlev_exp;cam_lt;cam_ln;cam_li;cam_prod;cam_exp;on_lt;on_ln;on_li;on_prod;on_exp
jan/57;2009;2009;0;2317;0;758;758;0;1091;0;104;104;0;97;0;1037;1037;0;981;0;110;110;0;148;0
fev/57;2091;2091;0;2144;0;624;624;0;788;0;107;107;0;96;0;1262;1262;0;1103;0;98;98;0;157;0
mar/57;2802;2802;0;2660;0;817;817;0;1057;0;133;133;0;123;0;1706;1706;0;1290;0;146;146;0;190;0
abr/57;2530;2530;0;2449;0;722;722;0;890;0;105;105;0;118;0;1525;1525;0;1266;0;178;178;0;175;0
mai/57;2889;2889;0;2788;0;853;853;0;1012;0;147;147;0;141;0;1698;1698;0;1439;0;191;191;0;196;0
jun/57;2913;2913;0;2740;0;1010;1010;0;976;0;115;115;0;144;0;1659;1659;0;1431;0;129;129;0;189;0
jul/57;3053;3053;0;2846;0;924;924;0;946;0;170;170;0;156;0;1589;1589;0;1541;0;370;370;0;203;0
ago/57;2922;2922;0;2740;0;834;834;0;902;0;136;136;0;156;0;1810;1810;0;1483;0;142;142;0;199;0
set/57;2373;2373;0;2635;0;791;791;0;808;0;150;150;0;143;0;1314;1314;0;1477;0;118;118;0;207;0
out/57;2170;2170;0;2646;0;760;760;0;791;0;98;98;0;148;0;1176;1176;0;1501;0;136;136;0;206;0
nov/57;1793;1793;0;2264;0;438;438;0;497;0;102;102;0;131;0;1097;1097;0;1460;0;156;156;0;176;0
dez/57;3432;3432;0;2313;0;947;947;0;691;0;165;165;0;135;0;2190;2190;0;1287;0;130;130;0;200;0
jan/58;4712;4712;0;4633;0;1642;1642;0;2173;0;1286;1286;0;548;0;1587;1587;0;1659;0;197;197;0;253;0
fev/58;4594;4594;0;4333;0;1443;1443;0;1656;0;1267;1267;0;619;0;1715;1715;0;1810;0;169;169;0;248;0
mar/58;5612;5612;0;5308;0;1833;1833;0;2093;0;698;698;0;761;0;2783;2783;0;2138;0;298;298;0;316;0
abr/58;4956;4956;0;4920;0;1655;1655;0;1804;0;569;569;0;736;0;2355;2355;0;2095;0;377;377;0;285;0
mai/58;5535;5535;0;5563;0;1864;1864;0;2035;0;748;748;0;837;0;2537;2537;0;2373;0;386;386;0;318;0
jun/58;5867;5867;0;5453;0;2137;2137;0;1954;0;642;642;0;836;0;2821;2821;0;2359;0;267;267;0;304;0
jul/58;5632;5632;0;5566;0;1947;1947;0;1807;0;819;819;0;898;0;2565;2565;0;2534;0;301;301;0;327;0
ago/58;5476;5476;0;5561;0;1775;1775;0;1853;0;751;751;0;911;0;2664;2664;0;2463;0;286;286;0;334;0
set/58;4689;4689;0;5202;0;1691;1691;0;1549;0;788;788;0;865;0;1974;1974;0;2451;0;236;236;0;337;0
out/58;4297;4297;0;5264;0;1582;1582;0;1530;0;608;608;0;893;0;1839;1839;0;2505;0;268;268;0;336;0
nov/58;3501;3501;0;4584;0;1066;1066;0;1035;0;617;617;0;829;0;1497;1497;0;2388;0;321;321;0;332;0
dez/58;6055;6055;0;4596;0;2042;2042;0;1319;0;739;739;0;770;0;3047;3047;0;2223;0;227;227;0;284;0
jan/59;8331;8331;0;7188;0;3370;3370;0;3719;0;2576;2576;0;932;0;2222;2222;0;2330;0;163;163;0;207;0
fev/59;8017;8017;0;6742;0;2885;2885;0;3100;0;2504;2504;0;1073;0;2436;2436;0;2365;0;192;192;0;204;0
mar/59;8741;8741;0;8307;0;3634;3634;0;3911;0;1166;1166;0;1307;0;3565;3565;0;2833;0;376;376;0;256;0
abr/59;7631;7631;0;7764;0;3201;3201;0;3427;0;951;951;0;1275;0;3106;3106;0;2829;0;373;373;0;233;0
mai/59;8664;8664;0;8754;0;3580;3580;0;3859;0;1190;1190;0;1436;0;3522;3522;0;3198;0;372;372;0;261;0
jun/59;9362;9362;0;8578;0;4074;4074;0;3694;0;1073;1073;0;1427;0;3967;3967;0;3208;0;248;248;0;249;0
