Year,Beginning Stocks,Beet Sugar Production,Cane Sugar Production,Production,Raw Imports,Refined Imp.(Raw Val),Imports,Total Supply,Raw Exports,Refined Exp.(Raw Val),Exports,Human Dom. Consumption,Other Disappearance,Total Disappearance,Ending Stocks,Total Distribution
1960,0,0,"4,016","4,016",0,0,0,"4,016",854,0,854,0,0,"2,456",706,"4,016"
1961,706,0,"3,438","3,438",0,0,0,"4,144",783,0,783,"2,667",0,"2,667",694,"4,144"
1962,694,0,"3,568","3,568",0,0,0,"4,262",645,0,645,"2,731",0,"2,731",886,"4,262"
1963,886,0,"3,500","3,500",0,0,0,"4,386",600,0,600,"2,800",0,"2,800",986,"4,386"
1964,986,0,"3,245","3,245",0,0,0,"4,231",453,0,453,"2,891",0,"2,891",887,"4,231"
1965,887,0,"4,000","4,000",0,0,0,"4,887",710,0,710,"2,897",0,"2,897","1,280","4,887"
1966,"1,280",0,"4,200","4,200",0,0,0,"5,480","1,005",0,"1,005","2,946",0,"2,946","1,529","5,480"
1967,"1,529",0,"4,360","4,360",0,0,0,"5,889","1,001",0,"1,001","3,116",0,"3,116","1,772","5,889"
1968,"1,772",0,"4,464","4,464",0,0,0,"6,236","1,026",0,"1,026","3,317",0,"3,317","1,893","6,236"
1969,"1,893",0,"4,357","4,357",0,0,0,"6,250","1,099",0,"1,099","3,516",0,"3,516","1,635","6,250"
1970,"1,635",0,"4,593","4,593",0,0,0,"6,228","1,075",0,"1,075","3,540",0,"3,540","1,613","6,228"
1971,"1,613",0,"5,117","5,117",0,0,0,"6,730","1,191",0,"1,191","3,743",0,"3,743","1,796","6,730"
1972,"1,796",0,"5,648","5,648",0,0,0,"7,444","1,854",0,"1,854","3,900",0,"3,900","1,690","7,444"
1973,"1,690",0,"6,163","6,163",0,0,0,"7,853","2,430",0,"2,430","4,564",0,"4,564",859,"7,853"
1974,859,0,"6,942","6,942",0,0,0,"7,801","2,650",0,"2,650","4,596",0,"4,596",555,"7,801"
1975,555,0,"6,985","6,985",0,0,0,"7,540","2,418",0,"2,418","4,507",0,"4,507",615,"7,540"
1976,615,0,"6,180","6,180",0,0,0,"6,795","1,244",0,"1,244","5,177",0,"5,177",374,"6,795"
1977,374,0,"7,598","7,598",0,0,0,"7,972","1,798",0,"1,798","5,148",0,"5,148","1,026","7,972"
1978,"1,026",0,"8,756","8,756",0,0,0,"9,782","2,391",0,"2,391","5,165",0,"5,165","2,226","9,782"
1979,"2,226",0,"7,767","7,767",0,0,0,"9,993","1,877",0,"1,877","5,508",0,"5,508","2,608","9,993"
1980,"2,608",0,"7,027","7,027",0,0,0,"9,635","2,333",0,"2,333","6,098",0,"6,098","1,204","9,635"
1981,"1,204",0,"8,547","8,547",0,0,0,"9,751","2,305",0,"2,305","6,107",0,"6,107","1,339","9,751"
1982,"1,339",0,"8,393","8,393",0,0,0,"9,732","2,615",0,"2,615","5,832",0,"5,832","1,285","9,732"
1983,"1,285",0,"9,302","9,302",0,0,0,"10,587","2,984",0,"2,984","6,178",0,"6,178","1,425","10,587"
1984,"1,425",0,"9,561","9,561",0,0,0,"10,986","2,700",0,"2,700","6,300",0,"6,300","1,986","10,986"
1985,"1,986",0,"9,324","9,324",0,0,0,"11,310","3,439",0,"3,439","6,300",0,"6,300","1,571","11,310"
1986,"1,571",0,"8,270","8,270",0,0,0,"9,841","2,560",0,"2,560","6,300",0,"6,300",981,"9,841"
1987,981,0,"8,650","8,650",0,0,0,"9,631","2,086",0,"2,086","6,700",0,"6,700",845,"9,631"
1988,845,0,"8,457","8,457",0,0,0,"9,302","1,020","1,111","2,131","6,400",0,"6,400",771,"9,302"
1989,771,0,"8,582","8,582",0,0,0,"9,353",684,687,"1,371","6,600",0,"6,600","1,382","9,353"
1990,"1,382",0,"7,793","7,793",0,289,289,"9,464",950,550,"1,500","6,800",0,"6,800","1,164","9,464"
1991,"1,164",0,"7,900","7,900",81,0,81,"9,145",500,800,"1,300","7,088",0,"7,088",757,"9,145"
1992,757,0,"9,200","9,200",0,0,0,"9,957",700,907,"1,607","7,400",0,"7,400",950,"9,957"
1993,950,0,"9,800","9,800",55,0,55,"10,805",715,"1,710","2,425","7,500",0,"7,500",880,"10,805"
1994,880,0,"9,930","9,930",6,0,6,"10,816",624,"2,237","2,861","7,500",0,"7,500",455,"10,816"
1995,455,0,"12,500","12,500",55,0,55,"13,010","1,900","2,400","4,300","8,000",0,"8,000",710,"13,010"
1996,710,0,"13,700","13,700",0,0,0,"14,410","2,600","3,200","5,800","8,100",0,"8,100",510,"14,410"
1997,510,0,"14,650","14,650",0,0,0,"15,160","1,300","4,500","5,800","8,500",0,"8,500",860,"15,160"
1998,860,0,"15,700","15,700",0,0,0,"16,560","4,500","2,700","7,200","8,800",0,"8,800",560,"16,560"
1999,560,0,"18,300","18,300",0,0,0,"18,860","5,900","2,850","8,750","9,100",0,"9,100","1,010","18,860"
2000,"1,010",0,"20,100","20,100",0,0,0,"21,110","7,400","3,900","11,300","9,100",0,"9,100",710,"21,110"
2001,710,0,"17,100","17,100",0,0,0,"17,810","6,100","1,600","7,700","9,250",0,"9,250",860,"17,810"
2002,860,0,"20,400","20,400",0,0,0,"21,260","8,400","3,200","11,600","9,450",0,"9,450",210,"21,260"
2003,210,0,"23,810","23,810",0,0,0,"24,020","9,990","4,010","14,000","9,750",0,"9,750",270,"24,020"
