Year,Algeria,Angola,Argentina,Australia,Benin,Bolivia,Brazil,Burundi,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote D'ivoire,Croatia,Cuba,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Ethiopia,European Union,Gabon,Ghana,Guatemala,Guinea,Guyana,Haiti,Honduras,India,Indonesia,Iran,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Laos,Liberia,Madagascar,Malawi,Malaysia,Mexico,Morocco,New Caledonia,New Zealand,Nicaragua,Nigeria,Norway,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Russia,Rwanda,Serbia,Sierra Leone,Singapore,South Africa,Sri Lanka,Switzerland,Taiwan,Tanzania,Thailand,Togo,Trinidad And Tobago,Turkey,Uganda,Ukraine,United States,Venezuela,Vietnam,Yemen,Yemen (Sanaa),Zambia,Zimbabwe
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
1961,0,"2,500",0,0,36,28,"29,800",232,855,0,130,0,0,"7,260",5,693,951,"3,134",0,700,550,594,0,"1,452",120,"1,687",0,14,54,"1,500",200,5,421,291,"1,225","1,330",0,18,0,0,0,566,0,0,15,933,2,45,"2,100",0,30,0,437,18,0,67,33,40,598,452,0,187,0,89,0,0,6,0,0,462,1,167,38,0,"1,925",0,277,902,76,0,90,0,0
1962,0,"2,800",0,0,30,34,"39,600",217,543,0,141,0,0,"7,571",8,706,"1,073","1,608",0,750,649,728,0,"1,930",120,"2,007",0,19,38,"1,700",235,4,746,315,769,"1,857",0,24,0,0,0,525,0,0,27,872,1,43,"2,350",0,35,0,432,20,0,84,54,44,670,509,0,161,0,87,0,0,8,0,0,300,1,196,28,0,"2,023",0,316,714,66,0,90,0,0
1963,0,"2,500",0,0,18,38,"28,900",202,750,0,99,0,0,"7,180",11,867,952,"3,140",0,630,625,626,0,"1,638",120,"2,073",0,24,40,"1,929",215,5,590,405,"1,028","1,759",0,21,0,0,0,635,0,0,48,"1,017",3,47,"2,202",0,35,0,535,36,0,73,77,103,827,490,0,192,0,88,0,0,8,0,0,448,1,119,59,0,"2,951",0,380,874,66,0,82,0,0
1964,0,"2,691",0,0,20,38,"23,200",94,856,0,180,0,0,"7,556",11,"1,050","1,043","4,275",0,475,755,619,0,"1,904",120,"2,205",0,16,116,"1,712",175,5,562,390,"1,241","2,253",0,26,0,0,0,724,0,0,72,833,2,52,"2,900",0,35,0,533,95,0,76,107,119,800,485,0,83,0,104,0,0,10,0,0,509,1,280,62,0,"2,534",0,278,872,60,0,80,0,1
1965,0,"2,487",0,0,12,58,"11,000",266,863,0,121,0,0,"8,428",8,779,845,"3,342",0,600,758,783,0,"2,052",130,"2,416",0,24,32,"1,660",150,10,588,479,"1,008","1,983",0,23,0,0,0,730,0,0,55,"1,117",3,52,"2,650",0,35,0,610,45,0,72,141,99,872,500,0,177,0,69,0,0,10,0,0,528,2,144,56,0,"2,453",0,344,786,66,0,90,0,1
1966,0,"3,057",0,0,11,59,"37,700",227,"1,176",0,183,0,0,"8,200",22,684,"1,001","4,343",0,460,709,960,0,"1,810",126,"2,234",0,18,100,"2,095",169,19,613,461,"1,154","2,190",0,22,0,0,0,859,0,0,72,700,1,58,"3,000",0,35,0,513,74,0,72,175,106,826,503,0,167,0,173,0,0,10,0,0,760,2,249,41,0,"2,578",0,272,907,76,0,75,0,1
1967,0,"3,691",0,0,18,72,"21,000",250,"1,193",0,150,0,0,"7,600",11,"1,087","1,164","2,010",0,450,576,899,0,"1,935",130,"2,426",0,13,66,"1,726",61,19,446,431,"1,384","2,447",0,22,0,0,0,923,0,0,74,892,2,57,"2,700",0,35,0,421,44,0,84,209,65,789,521,0,146,0,52,0,0,10,0,0,844,2,58,45,0,"2,737",0,264,898,86,0,60,1,2
1968,0,"3,458",0,0,7,92,"24,500",215,"1,204",0,142,0,0,"8,000",16,"1,200","1,313","4,712",0,450,706,"1,098",0,"2,393",146,"2,153",0,16,113,"1,792",103,19,534,495,"1,046","3,006",0,26,0,0,0,652,0,0,84,"1,037",3,60,"2,900",0,35,0,556,52,0,86,210,61,952,516,0,197,0,73,0,0,10,0,0,627,3,173,73,0,"2,278",0,279,687,66,0,60,1,2
1969,0,"3,525",0,0,28,59,"17,000",278,"1,194",0,155,0,0,"7,900",21,"1,167","1,228","3,328",0,500,602,974,0,"1,817",126,"1,988",0,7,92,"1,716",76,20,564,514,"1,310","2,542",0,17,0,0,0,803,0,0,99,"1,120",3,63,"2,865",0,30,0,504,75,0,75,296,67,940,519,0,192,0,138,0,0,10,0,0,951,4,277,44,0,"4,118",0,231,898,66,0,70,1,7
1970,0,"3,368",0,0,9,69,"21,000",244,"1,192",0,242,0,0,"8,450",25,"1,453","1,403","4,414",0,500,795,581,0,"2,468",120,"2,991",0,11,83,"1,941",111,18,458,443,"1,148","2,626",0,21,0,0,0,913,0,0,82,824,4,59,"3,082",0,30,0,563,60,0,86,424,49,951,544,0,208,0,109,0,0,10,0,0,599,10,232,34,0,"3,279",0,176,973,66,0,60,1,11
1971,0,"2,794",0,0,21,86,"11,000",371,"1,180",0,212,0,0,"8,000",16,"1,222","1,295","3,996",0,475,853,"1,255",0,"2,054",120,"2,589",0,17,39,"1,965",125,11,564,545,"1,914","2,330",0,21,0,0,0,999,0,0,85,"1,243",3,66,"3,200",0,25,0,641,83,0,74,401,27,"1,114",535,0,246,0,163,0,0,11,0,0,909,19,213,57,0,"2,667",0,283,936,56,0,60,1,15
1972,0,"3,880",0,0,43,92,"24,600",420,"1,250",0,195,0,0,"7,200",18,"1,335","1,551","4,544",0,460,768,"1,027",0,"2,680",116,"2,290",0,11,58,"2,099",95,12,604,586,"1,236","2,298",0,24,0,0,0,"1,020",0,0,78,"1,000",3,70,"3,400",0,20,0,725,58,0,89,448,62,947,521,0,257,0,129,0,0,11,0,0,908,28,103,54,0,"2,883",0,199,965,51,0,55,1,21
1973,0,"4,063",0,0,9,88,"24,500",328,"1,363",0,193,0,0,"8,600",14,"1,508","1,266","4,007",0,475,767,"1,059",0,"2,238",45,"2,580",0,12,60,"2,133",97,12,536,759,"1,626","2,236",0,21,0,0,0,"1,266",0,0,86,949,3,82,"3,914",0,18,0,537,45,0,83,619,115,"1,087",484,0,184,0,195,0,0,11,0,0,"1,123",37,190,46,0,"4,180",0,226,846,56,0,55,1,27
1974,0,"3,547",0,0,23,89,"14,300",359,"1,553",0,132,0,0,"7,800",8,"1,585","1,539","4,368",0,500,853,"1,414",0,"2,370",55,"2,187",0,6,61,"2,352",70,10,580,689,"1,508","2,609",0,31,0,0,0,"1,222",0,0,67,"1,303",3,98,"3,500",0,15,0,683,41,0,72,608,26,949,460,0,435,0,57,0,0,18,0,0,496,67,238,31,0,"3,266",0,246,"1,083",56,0,45,1,33
1975,0,"3,192",0,0,49,100,"27,500",479,"1,820",0,194,0,0,"9,000",11,"1,276","1,430","4,486",0,450,883,961,0,"3,800",70,"2,488",0,3,78,"2,386",110,15,590,983,"1,662","2,652",0,24,0,0,0,"1,102",0,0,81,"1,202",3,104,"4,030",0,12,0,730,42,0,75,543,126,875,467,0,497,0,111,0,0,32,0,0,935,82,115,65,0,"3,331",0,184,"1,060",60,0,45,1,49
1976,0,"1,100",0,0,19,124,"23,000",279,"1,482",0,150,0,0,"8,500",28,"1,072","1,276","5,266",0,365,"1,054","1,244",0,"2,030",25,"2,611",0,1,56,"2,043",73,15,575,847,"1,498","3,049",0,30,0,0,0,"1,244",0,0,86,"1,223",2,135,"4,136",0,10,0,790,67,0,66,588,135,881,483,0,434,0,64,0,0,43,0,0,959,102,151,42,0,"2,214",0,202,923,54,0,45,2,77
1977,0,"1,011",0,0,17,108,"9,300",359,"1,307",0,166,0,0,"9,300",33,"1,417","1,331","4,867",0,400,733,"1,389",0,"2,610",10,"2,782",0,7,70,"2,213",89,17,486,691,"1,753","3,384",0,17,0,0,0,"1,687",0,0,156,984,2,125,"3,431",0,9,0,852,53,0,78,802,35,947,557,0,531,0,168,0,0,40,0,0,805,105,177,60,0,"2,660",0,158,656,93,0,45,2,77
1978,0,920,0,0,3,118,"17,500",285,"1,371",0,165,0,0,"11,050",46,"1,129","1,449","3,123",0,262,"1,062","1,434",0,"2,800",10,"3,143",0,3,32,"2,541",66,18,519,"1,036","2,031","3,911",0,23,0,0,0,"1,417",0,0,137,"1,292",2,90,"3,301",0,5,0,967,43,0,105,655,66,"1,050",563,0,362,0,77,0,0,46,0,0,835,124,82,41,0,"1,928",0,213,"1,061",91,0,48,2,71
1979,0,613,0,0,3,122,"20,000",387,"1,634",0,130,0,0,"12,600",107,"1,293","1,749","4,742",0,223,664,"1,640",0,"3,423",10,"3,142",0,6,31,"2,827",109,19,443,"1,132","1,842","4,788",0,14,0,0,0,"1,239",0,0,144,814,3,102,"4,022",0,11,0,"1,004",60,0,104,818,138,"1,130",678,0,311,0,230,0,0,55,0,0,856,125,105,39,0,"1,944",0,169,"1,011",84,0,50,2,77
1980,0,260,0,0,5,129,"22,000",466,"1,658",0,230,0,0,"12,712",43,"1,316","1,522","3,973",0,372,"1,020","1,609",0,"3,322",10,"3,188",0,8,35,"2,647",48,22,669,"1,137","2,495","4,803",0,34,0,0,0,"1,531",0,0,171,"1,313",5,98,"3,600",0,10,0,"1,019",40,0,105,776,31,"1,265",811,0,501,0,172,0,0,47,0,0,761,152,182,37,0,"2,042",0,211,"1,031",140,0,53,1,68
1981,0,586,0,0,36,145,"21,500",315,"1,860",0,277,0,0,"13,500",40,"1,526","2,140","6,090",0,344,"1,105","1,517",0,"2,940",15,"3,264",0,8,27,"2,702",112,26,465,"1,265","1,977","5,365",0,20,0,0,0,"1,568",0,0,147,"1,150",7,88,"3,862",0,10,0,971,52,0,142,880,130,"1,170",944,0,506,0,147,0,0,50,0,0,"1,060",201,165,46,0,"2,133",0,236,"1,109",77,0,60,2,94
1982,0,392,0,0,37,135,"33,000",730,"1,850",0,284,0,0,"14,342",36,"1,425","1,782","4,160",0,383,813,"1,792",0,"2,886",20,"3,212",0,15,35,"2,653",64,26,494,"1,200","2,540","5,785",0,23,0,0,0,"1,396",0,0,165,"1,305",10,89,"3,900",0,8,0,"1,004",52,0,119,917,100,"1,100","1,067",0,502,0,176,0,0,54,0,0,959,277,225,44,0,"2,885",0,229,"1,107",77,0,58,2,82
1983,0,330,0,0,50,155,"17,750",340,"1,830",0,316,0,0,"13,300",32,"1,354","2,300","4,510",0,300,"1,159","1,800",0,"2,800",15,"3,350",0,29,23,"2,530",65,21,674,"1,500","2,170","4,750",0,30,0,0,0,"1,522",0,0,159,"1,000",16,90,"4,530",0,6,0,"1,186",45,0,138,648,100,"1,100","1,225",0,377,0,233,0,0,64,0,0,"1,033",324,284,23,0,"3,000",0,267,791,83,0,57,3,117
1984,0,260,0,0,55,150,"30,000",730,"1,000",0,150,0,0,"13,000",35,"1,350","2,070","1,420",0,385,871,"1,380",0,"2,400",15,"3,300",0,35,20,"2,340",50,17,630,"1,310","1,667","5,515",0,25,0,0,0,"2,160",0,10,69,"1,100",21,91,"4,530",0,4,0,809,42,0,150,925,100,"1,270",973,0,536,0,42,0,0,58,0,0,843,364,275,30,0,"2,700",0,221,"1,025",69,0,50,7,147
1985,0,230,0,0,55,140,"27,000",325,"2,316",0,275,0,0,"11,000",25,"1,540","2,516","4,609",0,400,913,"1,500",0,"2,680",15,"2,587",0,40,15,"2,703",30,15,592,"1,400","3,250","5,600",0,25,0,0,0,"1,620",0,25,209,"1,100",36,86,"4,250",0,6,0,843,48,0,237,775,100,"1,150","1,111",0,542,0,129,0,0,85,0,0,796,470,215,30,0,"2,800",0,245,"1,213",206,0,53,6,180
