Year,Beginning Stocks,Beet Sugar Production,Cane Sugar Production,Production,Raw Imports,Refined Imp.(Raw Val),Imports,Total Supply,Raw Exports,Refined Exp.(Raw Val),Exports,Human Dom. Consumption,Other Disappearance,Total Disappearance,Ending Stocks,Total Distribution
1959,0,0,"3,588","3,588",0,0,0,"3,588",19,0,19,"2,269",0,"2,269","1,300","3,588"
1960,"1,300",0,"3,266","3,266",0,0,0,"4,566",296,0,296,"2,513",0,"2,513","1,757","4,566"
1961,"1,757",0,"3,050","3,050",0,0,0,"4,807",381,0,381,"2,503",0,"2,503","1,923","4,807"
1962,"1,923",0,"3,000","3,000",0,0,0,"4,923",290,0,290,"2,833",0,"2,833","1,800","4,923"
1963,"1,800",0,"2,720","2,720",0,0,0,"4,520",274,0,274,"2,595",0,"2,595","1,651","4,520"
1964,"1,651",0,"3,886","3,886",0,0,0,"5,537",270,0,270,"2,646",0,"2,646","2,621","5,537"
1965,"2,621",0,"4,094","4,094",0,0,0,"6,715",446,0,446,"2,958",0,"2,958","3,311","6,715"
1966,"3,311",0,"2,756","2,756",0,0,0,"6,067",177,0,177,"3,175",0,"3,175","2,715","6,067"
1967,"2,715",0,"2,804","2,804",0,0,0,"5,519",164,0,164,"2,792",0,"2,792","2,563","5,519"
1968,"2,563",0,"3,208","3,208",0,0,0,"5,771",106,0,106,"2,869",0,"2,869","2,796","5,771"
1969,"2,796",0,"4,010","4,010",0,0,0,"6,806",358,0,358,"4,264",0,"4,264","2,184","6,806"
1970,"2,184",0,"4,501","4,501",0,0,0,"6,685",323,0,323,"4,536",0,"4,536","1,826","6,685"
1971,"1,826",0,"3,829","3,829",0,0,0,"5,655",166,0,166,"4,448",0,"4,448","1,041","5,655"
1972,"1,041",0,"4,571","4,571",1,0,1,"5,613",102,0,102,"4,367",0,"4,367","1,144","5,613"
1973,"1,144",0,"4,949","4,949",3,0,3,"6,096",375,0,375,"4,807",0,"4,807",914,"6,096"
1974,914,0,"5,794","5,794",0,0,0,"6,708",398,0,398,"4,932",0,"4,932","1,378","6,708"
1975,"1,378",0,"5,612","5,612",0,0,0,"6,990",887,0,887,"5,203",0,"5,203",900,"6,990"
1976,900,0,"6,430","6,430",0,0,0,"7,330",332,0,332,"5,269",0,"5,269","1,729","7,330"
1977,"1,729",0,"8,206","8,206",0,0,0,"9,935",215,0,215,"6,168",0,"6,168","3,552","9,935"
1978,"3,552",0,"7,071","7,071",0,0,0,"10,623",919,0,919,"7,430",0,"7,430","2,274","10,623"
1979,"2,274",0,"5,170","5,170",192,0,192,"7,636",243,0,243,"6,667",0,"6,667",726,"7,636"
1980,726,0,"6,542","6,542",228,0,228,"7,496",65,0,65,"6,373",0,"6,373","1,058","7,496"
1981,"1,058",0,"9,727","9,727",0,0,0,"10,785",408,0,408,"6,823",0,"6,823","3,554","10,785"
1982,"3,554",0,"9,508","9,508",0,0,0,"13,062",441,0,441,"7,622",0,"7,622","4,999","13,062"
1983,"4,999",0,"7,042","7,042",0,81,81,"12,122",765,0,765,"8,900",0,"8,900","2,457","12,122"
1984,"2,457",0,"7,071","7,071",0,"1,298","1,298","10,826",20,0,20,"9,116",0,"9,116","1,690","10,826"
1985,"1,690",0,"8,149","8,149",0,"1,732","1,732","11,571",39,0,39,"9,493",0,"9,493","2,039","11,571"
1986,"2,039",0,"10,153","10,153",0,"1,020","1,020","13,212",0,21,21,"10,352",0,"10,352","2,839","13,212"
1987,"2,839",0,"10,591","10,591",0,76,76,"13,506",0,19,19,"10,886",0,"10,886","2,601","13,506"
1988,"2,601",0,"10,177","10,177",0,0,0,"12,778",30,0,30,"11,433",0,"11,433","1,315","12,778"
1989,"1,315",0,"12,575","12,575",0,53,53,"13,943",0,32,32,"11,535",0,"11,535","2,376","13,943"
1990,"2,376",0,"13,707","13,707",0,0,0,"16,083",0,239,239,"12,281",0,"12,281","3,563","16,083"
1991,"3,563",0,"15,249","15,249",0,0,0,"18,812",0,590,590,"12,977",0,"12,977","5,245","18,812"
1992,"5,245",0,"12,447","12,447",0,0,0,"17,692",0,390,390,"13,800",0,"13,800","3,502","17,692"
1993,"3,502",0,"11,704","11,704",0,"1,500","1,500","16,706",0,30,30,"13,900",0,"13,900","2,776","16,706"
1994,"2,776",0,"16,410","16,410",0,685,685,"19,871",0,40,40,"13,841",0,"13,841","5,990","19,871"
1995,"5,990",0,"18,225","18,225",0,0,0,"24,215",0,940,940,"14,820",0,"14,820","8,455","24,215"
1996,"8,455",0,"14,616","14,616",0,27,27,"23,098",0,422,422,"15,697",0,"15,697","6,979","23,098"
1997,"6,979",0,"14,592","14,592",0,"1,000","1,000","22,571",0,21,21,"16,700",0,"16,700","5,850","22,571"
1998,"5,850",0,"17,436","17,436",0,"1,075","1,075","24,361",0,10,10,"16,977",0,"16,977","7,374","24,361"
1999,"7,374",0,"20,219","20,219",0,438,438,"28,031",0,25,25,"17,296",0,"17,296","10,710","28,031"
2000,"10,710",0,"20,480","20,480",0,0,0,"31,190",0,"1,360","1,360","17,845",0,"17,845","11,985","31,190"
2001,"11,985",0,"20,475","20,475",100,0,100,"32,560",0,"1,130","1,130","19,760",0,"19,760","11,670","32,560"
2002,"11,670",0,"22,140","22,140",10,0,10,"33,820",0,"1,410","1,410","20,260",0,"20,260","12,150","33,820"
2003,"12,150",0,"15,150","15,150",550,0,550,"27,850",0,250,250,"19,115",0,"19,115","8,485","27,850"
2004,"8,485",0,"14,170","14,170","2,135",0,"2,135","24,790",0,40,40,"19,590",0,"19,590","5,160","24,790"
2005,"5,160",0,"21,140","21,140",50,0,50,"26,350",0,"1,510","1,510","20,840",0,"20,840","4,000","26,350"
2006,"4,000",0,"30,780","30,780",1,0,1,"34,781",0,"2,680","2,680","20,400",0,"20,400","11,701","34,781"
2007,"11,701",0,"28,630","28,630",0,0,0,"40,331","3,016","2,998","6,014","22,021",0,"22,021","12,296","40,331"
2008,"12,296",0,"15,950","15,950","1,198",160,"1,358","29,604",86,138,224,"23,500",0,"23,500","5,880","29,604"
2009,"5,880",0,"20,637","20,637","1,701",730,"2,431","28,948",53,172,225,"22,500",0,"22,500","6,223","28,948"
2010,"6,223",0,"26,574","26,574",452,3,455,"33,252","1,187","2,716","3,903","23,050",0,"23,050","6,299","33,252"
2011,"6,299",0,"28,620","28,620",187,1,188,"35,107","1,908","1,856","3,764","24,180",0,"24,180","7,163","35,107"
2012,"7,163",0,"27,337","27,337","1,695",27,"1,722","36,222",252,"1,009","1,261","25,588",0,"25,588","9,373","36,222"
2013,"9,373",0,"26,605","26,605","1,078",0,"1,078","37,056","1,162","1,644","2,806","26,023",0,"26,023","8,227","37,056"
2014,"8,227",0,"30,460","30,460","1,000",0,"1,000","39,687",500,"2,080","2,580","26,500",0,"26,500","10,607","39,687"
2015,"10,607",0,"27,385","27,385","1,900",2,"1,902","39,894",0,"3,800","3,800","26,800",0,"26,800","9,294","39,894"
2016,"9,294",0,"22,200","22,200","2,700",1,"2,701","34,195",0,"2,125","2,125","25,500",0,"25,500","6,570","34,195"
2017,"6,570",0,"34,309","34,309","2,054",17,"2,071","42,950",46,"2,190","2,236","26,500",0,"26,500","14,214","42,950"
2018,"14,214",0,"34,300","34,300","1,300",0,"1,300","49,814","1,100","3,600","4,700","27,500",0,"27,500","17,614","49,814"
2019,"17,614",0,"28,900","28,900",900,0,900,"47,414","1,400","4,400","5,800","27,000",0,"27,000","14,614","47,414"
2020,"14,614",0,"33,760","33,760","1,000",0,"1,000","49,374","1,500","4,500","6,000","28,500",0,"28,500","14,874","49,374"
