id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42515,Geneva center - Hosting females,185647,Noelle,,Commune de Genève,46.2014,6.15507,Private room,73,14,59,2021-09-16,0.47,1,345,2,
44959,Perfect Cozy Bedroom Close to Lake & Transport,198343,Rita,,Commune de Genève,46.19704,6.16076,Private room,59,1,49,2020-04-03,0.36,1,0,0,
276025,Lovely flat by Geneva lake,1442438,Gaby,,Versoix,46.27944,6.16724,Entire home/apt,71,7,108,2021-07-16,0.91,1,321,6,
325986,"Stylish loft in Pâquis, next to UN",1667362,Virna,,Commune de Genève,46.21428,6.1461,Entire home/apt,150,7,108,2021-11-10,0.92,1,14,4,
338682,Top location 1 block from the lake!,1001280,Mike,,Commune de Genève,46.20682,6.15526,Entire home/apt,118,4,98,2021-12-01,0.82,2,45,8,
381538,Double bed+terrace+central Geneva,1913488,Anna,,Commune de Genève,46.20233,6.17377,Private room,146,1,5,2018-11-18,0.04,2,0,0,
399388,Nice modern bedroom with balcony,1994454,Oscar,,Carouge,46.18791,6.13996,Private room,49,7,49,2016-08-17,0.43,3,328,0,
411058,5th Sky (Downtown Geneva),1706035,Julik,,Commune de Genève,46.21092,6.14588,Private room,125,1,47,2020-03-05,0.51,1,87,0,
468995,Nice little place near the lake!,2328179,Po,,Commune de Genève,46.20508,6.15822,Entire home/apt,102,3,29,2020-10-01,0.25,2,55,0,
476344,Very spacious apartment in Geneva!,2361206,Jean,,Commune de Genève,46.19327,6.15306,Entire home/apt,269,3,143,2021-11-07,1.23,1,156,13,
494701,"Appt Central 4 Bedroom, 1 Bath & 1 separate toilet",2388229,Alberto,,Commune de Genève,46.20518,6.12397,Entire home/apt,175,7,171,2021-07-06,1.54,9,364,1,
534098,"UN, WHO, ILO, GF, ITU,WIPO large room private bath",2607389,Virginia,,Commune de Genève,46.22388,6.13371,Private room,85,5,82,2021-05-09,0.71,1,64,1,
610685,Bedroom(#1) in new furnished apartment,2388229,Alberto,,Grand-Saconnex,46.23507,6.12345,Private room,70,7,55,2020-12-01,0.49,9,0,0,
610738,Romantic Flat in the City Centre,2388229,Alberto,,Commune de Genève,46.20117,6.13139,Entire home/apt,150,7,28,2020-12-01,0.25,9,328,0,
626512,Design apartment 2 blocks from lake,3110118,Enrica,,Commune de Genève,46.2124,6.15048,Entire home/apt,130,32,36,2021-11-24,0.32,1,3,9,
626831,The Hamlet - Townhouse 6,3111534,The Hamlet,,Commune de Genève,46.19891,6.15033,Entire home/apt,331,1,3,2017-06-05,0.04,15,0,0,
626971,The Hamlet - Townhouse 10,3111534,The Hamlet,,Commune de Genève,46.20048,6.15046,Entire home/apt,331,1,0,,,15,0,0,
628055,Cosy sofa-bed only for ladies/Geneva/ safe| WIFI,3118951,Leonora,,Commune de Genève,46.19321,6.14291,Private room,48,1,297,2021-12-08,2.61,2,74,18,
628495,"Bright, spacious flat in Old Town !",3122142,Laura,,Commune de Genève,46.20174,6.14594,Entire home/apt,71,5,67,2021-12-24,0.59,1,4,3,
639461,"Spacious, Modern Apartment to Rent",2388229,Alberto,,Grand-Saconnex,46.23491,6.12378,Entire home/apt,120,7,127,2021-02-20,1.22,9,6,2,
649023,An artistic studio in Geneva Old Town,2375758,Eliora Elena,,Commune de Genève,46.20175,6.14852,Entire home/apt,86,2,56,2021-12-17,0.50,1,145,23,
664917,"Geneva centre, elegant and quiet",3359333,Jean-Luc,,Commune de Genève,46.20496,6.12801,Entire home/apt,115,12,39,2021-12-20,0.35,3,54,4,
693976,Suite overlooking Geneva & Mt Blanc,3550575,Ramon,,Commune de Genève,46.21671,6.13847,Entire home/apt,114,2,51,2017-02-09,0.45,1,84,0,
706264,Cosy and very central apartment,3629403,Louis,,Commune de Genève,46.21302,6.1512,Entire home/apt,110,2,82,2021-12-12,0.77,1,276,5,
762183,Central Luxury Loft Private Garden,3966921,Dan,,Commune de Genève,46.19897,6.16332,Entire home/apt,390,1,51,2016-06-02,0.46,1,360,0,
765191,"Cosy flat in the city, nearby the lake.",4034142,Lise & Olivier,,Commune de Genève,46.20625,6.16064,Entire home/apt,125,2,28,2019-07-26,0.32,1,0,0,
